marca_tiempo,edad,genero,zona_residencia,nivel_educativo,nivel_socioeco,horas_estudio,asistencia,plataforma,horas_redes,momento_uso,actividad_fisica,sintomas_abstine,alteracion_sueno,modificacion_ani,ansiedad,depresion,autoestima,promedio_raw,distraccion_acad,promedio,cat_horas_redes
23/06/2025 23:39:27,22,Male,Urban,Tertiary Education,SSC / O' Level,3,80,YouTube,8,Night,No,Irritability or agitation,4,5,5,5,3,CGPA 3.75,3,3.75,>6 h
23/06/2025 23:40:40,21,Male,Rural,Tertiary Education,Tertiary Education,5,100,YouTube,1.66666666666667,Night,No,No symtoms,1,4,3,1,1,3.9,4,3.9,0–2 h
23/06/2025 23:40:49,19,Female,Urban,Tertiary Education,Tertiary Education,2,100,Instagram,2,Afternoon,Yes,No symtoms,4,3,3,3,5,4.75,4,4.75,0–2 h
23/06/2025 23:44:00,19,Female,Urban,Tertiary Education,SSC / O' Level,0,70,Instagram,8,Night,No,Feeling restless,3,3,4,4,5,GPA - 5.00,4,5,>6 h
23/06/2025 23:44:03,20,Male,Urban,HSC / A' Level,HSC / A' Level,2,97.5,Instagram,4.5,Night,Yes,Cravings,3,3,4,2,4,4.75,4,4.75,4–6 h
23/06/2025 23:44:11,19,Male,Urban,Tertiary Education,Tertiary Education,4,95,YouTube,3.5,Evening,Yes,Feeling restless,3,2,3,2,3,4,1,4,2–4 h
24/06/2025 00:23:27,25,Male,Urban,Tertiary Education,Tertiary Education,6,80,YouTube,2.5,Night,Yes,No symtoms,5,5,5,5,5,3.69,5,3.69,2–4 h
24/06/2025 00:30:20,21,Female,Urban,Tertiary Education,SSC / O' Level,6,99,YouTube,2,Night,No,No symtoms,1,1,1,1,1,GPA 5,2,5,0–2 h
24/06/2025 00:51:03,19,Male,Urban,Tertiary Education,No education,3,90,Facebook,4,Night,Yes,No symtoms,2,3,2,2,5,Gpa-5(Hsc),3,5,2–4 h
24/06/2025 00:51:11,19,Female,Urban,Tertiary Education,HSC / A' Level,4,90,Facebook,7,Evening,Yes,No symtoms,2,3,2,5,1,GPA 4.94,4,4.94,>6 h
05/07/2025 11:57:45,19,Male,Urban,Tertiary Education,SSC / O' Level,4,98,YouTube,8,Night,No,No symtoms,2,1,1,1,3,5,2,5,>6 h
24/06/2025 01:34:32,21,Female,Urban,Tertiary Education,Tertiary Education,2,80,Instagram,6,Night,Yes,Feeling restless,5,5,4,1,2,Gpa 4.75 in hsc,5,4.75,4–6 h
24/06/2025 05:06:45,22,Male,Rural,Tertiary Education,HSC / A' Level,4,78,YouTube,2,Night,Yes,Cravings,5,3,5,3,4,2.9,5,2.9,0–2 h
24/06/2025 11:48:26,23,Female,Urban,Tertiary Education,Tertiary Education,2,60,Facebook,3,Night,No,Cravings,3,3,1,1,3,3.2,5,3.2,2–4 h
24/06/2025 12:42:28,19,Female,Urban,Tertiary Education,HSC / A' Level,10,90,Other,2,Evening,Yes,No symtoms,1,1,1,1,1,GPA 5,1,5,0–2 h
24/06/2025 13:54:21,23,Female,Rural,Tertiary Education,SSC / O' Level,5,85,Instagram,6,Night,No,No symtoms,3,1,1,1,2,3.4,2,3.4,4–6 h
24/06/2025 17:34:44,23,Female,Rural,Tertiary Education,HSC / A' Level,5,90,Facebook,3,Afternoon,Yes,No symtoms,3,2,1,1,1,..,1,NA,2–4 h
25/06/2025 00:59:41,22,Female,Rural,Tertiary Education,HSC / A' Level,2,70,Instagram,5,Evening,No,No symtoms,3,4,4,4,4,3,4,3,4–6 h
25/06/2025 01:08:49,22,Female,Urban,Tertiary Education,No education,2,70,Otro,4,Night,No,Trouble concentrating,5,5,5,5,5,3.79,4,3.79,2–4 h
25/06/2025 01:10:53,30,Female,Urban,Tertiary Education,HSC / A' Level,2,95,YouTube,5,Night,Yes,Trouble concentrating,4,3,2,3,3,3.1,5,3.1,4–6 h
25/06/2025 01:11:26,29,Female,Urban,Tertiary Education,Tertiary Education,2,100,YouTube,5,Night,Yes,Cravings,2,4,3,2,4,3.2,4,3.2,4–6 h
25/06/2025 01:16:15,23,Male,Rural,Tertiary Education,No education,0,60,Facebook,5,Night,No,Feeling restless,3,4,3,4,5,3.1,4,3.1,4–6 h
25/06/2025 01:18:20,22,Male,Urban,Tertiary Education,Tertiary Education,0.5,80,Facebook,3.5,Night,Yes,No symtoms,4,2,1,1,5,3.73,4,3.73,2–4 h
25/06/2025 02:06:25,37,Male,Urban,Tertiary Education,Tertiary Education,0,90,Facebook,15,Morning,Yes,Cravings,3,5,2,3,3,3.17,5,3.17,>6 h
25/06/2025 02:35:47,23,Female,Rural,Tertiary Education,No education,2,60,Facebook,3,Afternoon,No,Feeling restless,2,5,2,2,4,3.5,1,3.5,2–4 h
25/06/2025 03:18:49,21,Male,Urban,Tertiary Education,Tertiary Education,2,90,Facebook,3,Night,Yes,Feeling restless,2,2,1,3,3,CGPA 4.00,1,4,2–4 h
26/06/2025 14:10:55,22,Female,Urban,Tertiary Education,Tertiary Education,1,95,Instagram,5,Evening,No,Feeling restless,1,3,1,2,3,3.95,2,3.95,4–6 h
28/06/2025 19:32:40,22,Female,Urban,HSC / A' Level,SSC / O' Level,3,92.5,Instagram,2,Night,Yes,Cravings,2,3,2,1,3,3.26,5,3.26,0–2 h
01/07/2025 05:53:43,21,Male,Rural,Tertiary Education,Tertiary Education,8,100,YouTube,6,Night,No,Feeling restless,5,5,5,2,2,5,3,5,4–6 h
02/07/2025 03:39:25,24,Male,Urban,HSC / A' Level,HSC / A' Level,8,100,Facebook,3,Night,Yes,No symtoms,4,3,3,2,2,4.5 GPA,5,4.5,2–4 h
02/07/2025 03:46:51,23,Male,Urban,Tertiary Education,HSC / A' Level,4,90,YouTube,2,Night,Yes,Feeling restless,4,4,1,1,4,3.4,4,3.4,0–2 h
03/07/2025 00:14:20,23,Female,Urban,Tertiary Education,HSC / A' Level,1,80,Instagram,16,Afternoon,No,Feeling restless,1,3,3,3,5,3.5,5,3.5,>6 h
03/07/2025 02:55:08,22,Male,Urban,HSC / A' Level,HSC / A' Level,1,80,Instagram,6,Evening,Yes,Trouble concentrating,4,2,1,1,2,4,3,4,4–6 h
03/07/2025 13:15:21,20,Male,Urban,HSC / A' Level,Tertiary Education,0,75,Instagram,2,Night,Yes,No symtoms,4,1,1,1,1,4.92,1,4.92,0–2 h
03/07/2025 13:38:27,19,Female,Urban,Tertiary Education,Tertiary Education,4,100,Instagram,4,Night,No,No symtoms,3,1,1,1,2,GPA5 on HSC ,2,5,2–4 h
03/07/2025 13:38:29,20,Female,Urban,Tertiary Education,HSC / A' Level,3,100,Instagram,9,Night,No,No symtoms,1,4,1,1,4,4.58,3,4.58,>6 h
03/07/2025 18:03:14,19,Male,Rural,Tertiary Education,Tertiary Education,4,99,YouTube,2,Afternoon,Yes,Trouble concentrating,1,1,5,5,1,5,1,5,0–2 h
03/07/2025 18:03:28,19,Male,Urban,HSC / A' Level,Tertiary Education,4,80,Instagram,3,Afternoon,Yes,Trouble concentrating,3,2,1,2,2,Gpa 5 in HSC 2024,3,5,2–4 h
03/07/2025 19:59:55,20,Female,Urban,Tertiary Education,Tertiary Education,2,100,YouTube,3,Evening,Yes,Feeling restless,1,1,1,1,1,4.25,1,4.25,2–4 h
03/07/2025 20:04:52,21,Female,Urban,Tertiary Education,Tertiary Education,2,90,Instagram,4,Afternoon,No,Trouble concentrating,3,4,4,2,3,4,3,4,2–4 h
03/07/2025 20:15:28,24,Male,Urban,Tertiary Education,Madrasah,1,99,YouTube,3,Night,No,No symtoms,3,3,3,3,3,CGPA 3.97,3,3.97,2–4 h
03/07/2025 20:18:45,21,Male,Rural,HSC / A' Level,HSC / A' Level,1,90,Instagram,12,Night,Yes,No symtoms,3,5,4,1,5,3.16,1,3.16,>6 h
03/07/2025 20:31:07,22,Male,Urban,Tertiary Education,Madrasah,3,100,Facebook,5.5,Afternoon,No,Cravings,4,3,5,5,4,4/4,1,4,4–6 h
03/07/2025 20:42:49,19,Female,Urban,Tertiary Education,No education,0,98,Facebook,8,Night,No,No symtoms,5,4,5,3,3,CGPA 4.0,4,4,>6 h
03/07/2025 20:43:29,21,Female,Urban,Tertiary Education,Tertiary Education,10,100,Instagram,15,Night,No,Feeling restless,3,3,4,2,2,3.96,1,3.96,>6 h
05/07/2025 22:05:07,22,Male,Urban,Tertiary Education,HSC / A' Level,4,100,Facebook,1,Evening,Yes,Feeling restless,1,1,1,3,5,5,1,5,0–2 h
03/07/2025 23:00:51,20,Female,Urban,Tertiary Education,SSC / O' Level,2,100,YouTube,1,Night,No,No symtoms,1,2,1,1,1,GPA 5.00,3,5,0–2 h
03/07/2025 23:04:40,21,Male,Urban,Tertiary Education,Tertiary Education,7,95,Other,4.21910066006601,Afternoon,Yes,Feeling restless,3,3,3,3,3,GPA 5.00,3,5,4–6 h
03/07/2025 23:28:32,20,Female,Urban,Tertiary Education,No education,1,95,YouTube,3,Afternoon,No,Feeling restless,1,3,1,2,1,HSC (GPA: 4.08),1,4.08,2–4 h
05/07/2025 11:59:45,19,Male,Urban,Tertiary Education,HSC / A' Level,6,85,Facebook,3.5,Night,Yes,No symtoms,2,3,3,3,2,"HSC, Science (GPA-5.00)",2,5,2–4 h
05/07/2025 14:11:26,19,Male,Urban,Tertiary Education,HSC / A' Level,3,85,Facebook,5,Evening,Yes,Trouble concentrating,3,5,5,3,4,3.58 from Ssc result ,2,3.58,4–6 h
05/07/2025 12:05:28,19,Female,Urban,Tertiary Education,SSC / O' Level,6,95,Instagram,5,Afternoon,No,No symtoms,3,4,4,1,3,5,5,5,4–6 h
05/07/2025 12:05:43,22,Female,Urban,Tertiary Education,SSC / O' Level,6,100,Instagram,1,Night,Yes,No symtoms,1,1,1,1,1,Last exam was HSC that's also 23 batch. GPA: 5.00,1,5,0–2 h
05/07/2025 12:07:55,20,Female,Urban,Tertiary Education,HSC / A' Level,5,100,Facebook,7,Night,No,Cravings,1,5,2,3,1,GPA-4.83,2,4.83,>6 h
05/07/2025 12:08:54,22,Male,Urban,Tertiary Education,SSC / O' Level,4,95,YouTube,4,Night,No,No symtoms,1,1,2,5,1,4.58,2,4.58,2–4 h
05/07/2025 12:13:26,23,Female,Urban,Tertiary Education,HSC / A' Level,6,96,Facebook,2.5,Afternoon,No,No symtoms,5,1,1,2,3,GPA 4.17,2,4.17,2–4 h
05/07/2025 12:13:31,20,Female,Urban,Tertiary Education,Tertiary Education,3,80,Instagram,8,Night,No,Trouble concentrating,1,2,3,5,2,4.92,5,4.92,>6 h
05/07/2025 12:13:58,19,Male,Urban,Tertiary Education,HSC / A' Level,3,100,Other,1,Night,Yes,No symtoms,1,3,1,1,3,5,2,5,0–2 h
05/07/2025 12:15:24,20,Male,Urban,Tertiary Education,HSC / A' Level,1,90,Facebook,0.5,Night,Yes,No symtoms,2,2,1,1,3,HSC-GPA 5,1,5,0–2 h
05/07/2025 12:18:41,19,Female,Rural,Tertiary Education,HSC / A' Level,4,99,Facebook,3,Evening,Yes,Feeling restless,2,4,3,4,3,5,2,5,2–4 h
05/07/2025 12:20:07,19,Female,Urban,Tertiary Education,Tertiary Education,5,88,Facebook,8,Night,No,No symtoms,2,3,2,3,2,HSC Result~GPA-5 (in all subjects),1,5,>6 h
05/07/2025 21:26:27,20,Male,Urban,Tertiary Education,Tertiary Education,2,100,Facebook,2,Evening,No,No symtoms,3,3,2,3,3,GPA 5,2,5,0–2 h
05/07/2025 12:21:48,19,Female,Urban,Tertiary Education,Tertiary Education,2,98,Facebook,3.5,Night,No,Cravings,2,3,3,3,4,4.83/5.00,3,4.83,2–4 h
05/07/2025 12:21:50,18,Female,Rural,Tertiary Education,HSC / A' Level,2,100,YouTube,1,Night,No,No symtoms,2,2,2,5,3,Gpa 5,1,5,0–2 h
05/07/2025 12:23:44,19,Female,Urban,Tertiary Education,Tertiary Education,3,100,Other,6,Evening,No,Trouble concentrating,3,5,1,4,5,5,1,5,4–6 h
05/07/2025 12:32:25,19,Female,Urban,Tertiary Education,HSC / A' Level,0,60,Instagram,10,Evening,No,Cravings,5,1,1,3,4,HSC -5.00 ,3,5,>6 h
05/07/2025 12:34:52,18,Female,Urban,Tertiary Education,Tertiary Education,12,99,Facebook,3,Afternoon,Yes,No symtoms,5,3,3,4,3,5,3,5,2–4 h
05/07/2025 12:35:11,19,Female,Urban,Tertiary Education,HSC / A' Level,5,95,Instagram,7,Evening,No,No symtoms,1,4,2,2,4,5,3,5,>6 h
05/07/2025 12:35:19,19,Female,Urban,Tertiary Education,Tertiary Education,5,99,Otro,3,Night,Yes,Trouble concentrating,3,1,1,3,3,HSC GPA:5.00,5,5,2–4 h
05/07/2025 12:37:19,20,Male,Urban,HSC / A' Level,HSC / A' Level,5,96,Facebook,2.5,Night,No,No symtoms,3,3,3,5,3,GPA-5.00,3,5,2–4 h
05/07/2025 12:37:24,19,Female,Urban,Tertiary Education,Tertiary Education,4,70,Instagram,3.5,Evening,No,Cravings,3,3,2,4,4,GPA 4.67,1,4.67,2–4 h
05/07/2025 12:37:27,18,Female,Urban,HSC / A' Level,HSC / A' Level,5,90,Instagram,2,Afternoon,No,No symtoms,3,4,3,3,4,HSC-GPA-5,3,5,0–2 h
