promedio,horas_redes,distraccion_acad,horas_estudio,asistencia,.fitted,.resid,.hat,.sigma,.cooksd,.std.resid,indice
1.8900000000000001,3,4,7,80,4.2349441636179925,-2.3449441636179924,0.01839348061177194,0.5868421555125248,0.04865885837020706,-3.9472382487407196,14
3.96,2,3,0.5,25,3.2857365374753766,0.6742634625246233,0.04745758471217957,0.5993283413604493,0.011023108715435619,1.1521712028196225,15
4,6.5,1,4,90,4.1700159095544835,-0.17001590955448354,0.015617112079071778,0.6004073792674126,2.159531757848439e-4,-0.28578345802317384,16
2.5,4,2,1,10,3.1599519248420376,-0.6599519248420376,0.06730881094206191,0.5993532104133186,0.01562171184877277,-1.1396537250160044,17
3.5,2.5,4,0,60,3.545914389039823,-0.04591438903982281,0.01975024549334189,0.6004728740567052,2.0086510030323853e-5,-0.07734103687602713,18
3.5,2,4,4,99,4.250999595451268,-0.750999595451268,0.01042995400799698,0.5991048727327327,0.0027846881738436374,-1.259058716930294,19
3.8699999999999997,2,2,3,90,4.236167589602522,-0.3661675896025227,0.0061445149373605705,0.6001532984263472,3.8664178000954444e-4,-0.612558870442899,20
3.27,4,3,2,100,4.146455535938869,-0.8764555359388688,0.006589384713513627,0.5986142369176359,0.0023776881912444133,-1.4665438121519951,21
4.56,6,5,3,80,3.87419550949204,0.6858044905079597,0.012325929534494984,0.5993309562443001,0.0027548685273471353,1.1508614683295524,22
4,5,1,0,90,3.9652675013383627,0.0347324986616373,0.017481958346298274,0.6004750948339375,1.0127189142078857e-5,0.058437995709994084,23
3.75,4.5,3,2,95,4.07899935987691,-0.3289993598769101,0.0050731540996055095,0.6002161768163481,2.571542545492276e-4,-0.5500840211357698,24
3.25,5,4,3,80,3.9265282988813675,-0.6765282988813675,0.005641712388001467,0.5993693167389772,0.00121061188905645,-1.1314726751642328,25
4,2,3,5,96,4.362899305531159,-0.3628993055311591,0.007256729896408378,0.6001587138591489,4.495180985904735e-4,-0.6074313645178281,26
3,5,1,2,70,3.886419121099248,-0.886419121099248,0.012471539361265913,0.5985601782452654,0.0046580795822052596,-1.4876263311254587,27
3.86,4.5,1,0,100,4.0968088061746295,-0.23680880617462963,0.019811782104208007,0.6003403500084437,5.360535007072688e-4,-0.3989079218447742,28
